Culture,CD105,CCND2,p16,p21,p38,SABG
P10_Stemfit,28.329,48.989,10.713,8.396,17.252,58.717
P10_Stemfit,28.892,49.458,11.468,8.866,18.277,58.754
P10_Stemfit,28.681,49.433,11.709,8.776,18.879,58.554
P10_Stemfit,27.59,49.18,9.873,7.862,17.505,57.513
P10_Stemfit,28.822,49.429,10.1,8.602,17.834,59.797
P10_Stemfit,27.578,48.578,9.884,8.636,17.381,58.282
P10_Stemfit,28.652,48.615,10.367,8.702,17.907,59.428
P10_Stemfit,29.127,49.526,11.253,8.768,17.589,59.063
P10_Stemfit,29.882,49.791,14.007,10.72,19.513,60.422
P10_Stemfit,26.885,48.331,9.192,7.376,17.56,56.361
P10_Stemfit,26.663,47.878,10.078,7.452,18.172,55.579
P10_Stemfit,28.01,48.424,9.336,8.387,16.725,58.661
P10_Stemfit,26.626,48.17,8.785,7.667,17.163,55.906
P10_Stemfit,28.946,49.584,9.942,8.185,18.09,59.566
P10_Stemfit,28.36,49.373,9.933,8.109,17.695,58.318
P10_Stemfit,29.366,49.21,13.072,8.249,18.31,58.699
P10_Stemfit,29.113,49.533,11.226,8.145,17.793,58.481
P10_Stemfit,26.839,48.053,8.93,7.333,17.202,56.625
P10_Stemfit,26.983,47.472,12.304,7.952,18.707,54.507
P10_Stemfit,28.935,49.227,12.127,8.567,18.314,59.993
P10_Stemfit,27.284,47.595,8.849,8.41,16.972,56.578
P10_Stemfit,28.437,48.239,9.115,8.476,17.286,60.039
P10_Stemfit,28.274,49.439,10.444,8.508,17.252,59.058
P10_Stemfit,28.176,48.583,9.958,8.634,16.897,58.625
P10_Stemfit,27.838,48.458,10.327,7.811,16.739,57.921
P10_Stemfit,27.911,48.212,9.089,8.102,16.598,58.025
P10_Stemfit,28.78,49.441,11.062,8.948,17.787,59.526
P10_Stemfit,27.715,48.987,9.67,8.153,17.336,57.626
P10_Stemfit,28.853,49.016,11.822,8.493,18.515,56.995
P10_Stemfit,28.272,48.812,9.93,7.921,17.57,58.479
